date,datatype,station,attributes,value,year
1974-01-01T00:00:00,PRCP,GHCND:USC00300023,",,0,0800",4.3,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300023,",,0,0800",-3.9,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300023,",,0,0800",-8.3,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300055,",,0,1700",0.0,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300055,",,0,1700",-2.2,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300055,",,0,1700",-6.7,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300063,",,0,0900",5.6,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300063,",,0,0900",0.0,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300063,",,0,0900",-5.0,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300085,",,0,0700",2.0,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300085,",,0,1800",-2.8,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300085,",,0,1800",-7.2,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300093,",,0,0700",2.5,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300093,",,0,0700",-0.6,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300093,",,0,0700",-6.1,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300183,"T,,0,0700",0.0,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300183,",I,0,1700",-3.3,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300183,",,0,1700",-7.8,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300220,",,0,0700",4.6,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300220,",,0,0700",-2.2,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300220,",,0,0700",-7.2,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300254,",,0,0800",2.0,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300321,",,0,1700",2.3,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300321,",,0,1700",-3.9,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300321,",,0,1700",-7.2,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300331,",,0,0800",3.3,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300331,",,0,0800",-0.6,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300331,",,0,0800",-8.3,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300343,"T,,0,0700",0.0,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300360,",,0,0700",4.3,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300360,",,0,1700",1.7,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300360,",,0,1700",-2.8,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300412,",,0,0700",0.3,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300443,",,0,1600",5.3,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300443,",,0,1600",-1.7,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300443,",,0,1600",-6.1,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300448,",,0,0700",0.0,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300448,",,0,0700",-1.1,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300448,",,0,0700",-6.7,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300452,",,0,0700",15.5,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300500,",,0,0900",2.5,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300511,",,0,1800",2.8,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300511,",,0,1800",4.4,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300511,",,0,1800",-0.6,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300608,",,0,0700",4.1,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300654,",,0,0700",5.3,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300668,",,0,",4.3,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300681,",Z,6,",0.5,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300681,",,6,",0.6,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300681,",,6,",-4.4,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300766,",,0,0900",1.3,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300766,",,0,0900",-0.6,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300766,",,0,0900",-4.4,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300785,",,0,0700",5.1,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300785,",,0,0700",-2.2,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300785,",,0,0700",-6.1,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300817,",,0,0700",0.0,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300889,",,0,2000",6.9,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300889,",,0,2000",9.4,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300889,",,0,2000",1.7,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300929,",,0,",0.5,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00300937,"T,,0,1900",0.0,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00300937,",,0,1900",-2.2,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00300937,",,0,1900",-8.9,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301110,",,0,1000",2.3,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00301110,",,0,1000",-1.1,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00301110,",,0,1000",-8.9,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301136,",,0,1800",7.9,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301152,",,0,0800",1.0,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00301152,",,0,0800",1.7,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00301152,",,0,0800",-6.1,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301156,",,0,",2.5,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301160,",,0,0700",2.3,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301168,",,0,0800",1.8,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301173,",,0,0800",0.0,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301207,",,0,0800",5.6,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00301207,",,0,0800",1.1,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00301207,",,0,0800",-1.7,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301260,",,0,1600",0.0,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00301260,",,0,2400",2.8,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00301260,",,0,2400",-2.8,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301387,",,0,0700",7.6,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00301387,",,0,1500",-1.7,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00301387,",,0,1500",-8.3,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00301401,",,0,1800",-2.2,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00301401,",,0,1800",-7.8,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301413,",,0,0700",3.6,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301424,",,0,0700",4.8,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301436,",,0,1800",2.5,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00301436,",,0,1800",-0.6,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00301436,",,0,1800",-6.1,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301492,"T,,0,0700",0.0,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301523,",,0,",8.1,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301593,",,0,1900",2.0,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00301593,",,0,1900",0.0,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00301593,",,0,1900",-7.2,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301623,",,0,0800",2.0,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00301623,",,0,0800",1.1,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00301623,",,0,0800",-5.0,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301664,",,0,0700",4.3,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301708,",,0,0900",9.9,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00301723,",,0,1700",2.2,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00301723,",,0,1700",-7.2,1974
1974-01-01T00:00:00,PRCP,GHCND:USC00301752,",,0,0800",6.4,1974
1974-01-01T00:00:00,TMAX,GHCND:USC00301752,",,0,1800",0.6,1974
1974-01-01T00:00:00,TMIN,GHCND:USC00301752,",,0,1800",-4.4,1974
